SampleID,GroupID,cmtfa_vs_cmtf,cmtma_vs_cmtm,cmtf_vs_cmtm,cmto_vs_cmtm,llcf_vs_llcm,llco_vs_llcm,cmtoa_vs_cmto,llcfa_vs_llcf,llcma_vs_llcm,llcoa_vs_llco
CMT_F_A_R1,CMT_F_A,1,,,,,,,,,
CMT_F_A_R2,CMT_F_A,1,,,,,,,,,
CMT_F_A_R3,CMT_F_A,1,,,,,,,,,
CMT_F_A_R4,CMT_F_A,1,,,,,,,,,
CMT_F_A_R5,CMT_F_A,1,,,,,,,,,
CMT_F_R1,CMT_F,0,,1,,,,,,,
CMT_F_R2,CMT_F,0,,1,,,,,,,
CMT_F_R3,CMT_F,0,,1,,,,,,,
CMT_F_R4,CMT_F,0,,1,,,,,,,
CMT_F_R5,CMT_F,0,,1,,,,,,,
CMT_M_R1,CMT_M,,0,0,0,,,,,,
CMT_M_R2,CMT_M,,0,0,0,,,,,,
CMT_M_R3,CMT_M,,0,0,0,,,,,,
CMT_M_R4,CMT_M,,0,0,0,,,,,,
CMT_M_R5,CMT_M,,0,0,0,,,,,,
CMT_M_A_R1,CMT_M_A,,1,,,,,,,,
CMT_M_A_R2,CMT_M_A,,1,,,,,,,,
CMT_M_A_R3,CMT_M_A,,1,,,,,,,,
CMT_M_A_R4,CMT_M_A,,1,,,,,,,,
CMT_M_A_R5,CMT_M_A,,1,,,,,,,,
